attempt,components,support_half_width,amplitude,tv,hellinger
285,5,2.78036614914489,0.0018687463377992024,0.00039013491659149117,0.0003492308421998066
286,11,3.2894240102583177,0.0001187865352177248,1.14523699365268e-05,9.360798032750618e-06
287,5,3.320547802520723,0.07253472754209078,0.014431732504999484,0.012762687472167888
288,11,2.9229118095835642,0.010500396788819635,0.0019036887784176278,0.0014425547196612717
289,11,1.6160358229490424,0.003834298545167428,0.0005011995258834299,0.00048014918155897676
290,15,3.655736528961214,0.020920631258355728,0.0014538148936640658,0.0011838837072943025
291,8,2.74254999426719,0.007061830048323882,0.0006755819019446573,0.0006948131524260279
292,5,2.454896883835575,0.0006884838103948373,0.00011282666153663047,0.00010868594745859223
293,5,2.153275083766581,0.0014672889071001298,0.00020369354936450144,0.00018371437811710612
294,5,2.083140555077664,0.0003868440379589693,9.946102457275323e-05,7.854492633016372e-05
295,5,1.9113675386773006,0.014126482961975067,0.0017702948606800307,0.0014376285802967662
296,15,2.797166831255744,0.014890243718760356,0.0009721483773088022,0.0007904121358179879
297,8,3.796557049131053,0.011088512602211097,0.0035091134251775936,0.003835685815342752
298,11,2.0941584419900585,0.02131617391623247,0.0020526148360662504,0.0020458145863953363
299,8,2.6752119412777255,0.0001019688900127763,3.044402644591381e-05,3.878553641793148e-05
300,15,3.1451153787004955,0.0002888578534812798,5.0614416897849054e-05,4.074748129481332e-05
301,5,3.7767648304241423,0.0002923368128087796,6.629700866977344e-05,6.002849848158299e-05
302,5,2.278765894180318,0.051183790541809514,0.013291729051285318,0.013136164837701449
303,15,3.81874402410822,0.000148709272119087,1.4482099738888651e-05,1.2339643734385043e-05
304,11,3.585998588952696,0.009321649223025471,0.0016507868263924879,0.0012865807978009098
305,15,1.7808516526910296,0.0026532235516028217,0.00032183573581405516,0.0002580652636278364
306,5,1.7599510761765267,0.014055910777217568,0.004518083739447594,0.004042862940313984
307,5,2.472633180935312,0.049551824905447475,0.0012696240436453044,0.0011075767883494806
308,5,2.868913925830925,0.012034744247534706,0.003668350220262206,0.0033090409050387506
309,15,3.120050757209412,0.0031613791655289965,0.00018563908018339942,0.00029072225868068065
310,11,2.6096519278953934,0.055934765987468583,0.008609791640788485,0.01058789299352667
311,5,2.481032732178511,0.00019485607953262935,4.353321164881698e-05,3.39282417687989e-05
312,8,1.865434692973373,0.0005279670075447835,7.488380703193716e-05,6.061646607168757e-05
313,8,3.751347093513135,0.0020078985180436125,0.00032049215695630377,0.0003078903183745659
314,8,1.6126165022470114,0.008700084475352251,0.0016140860683991293,0.0012532321856773734
315,8,1.5920699822132296,0.00019138106556394315,3.4328256245947435e-05,3.8668090895227403e-05
316,15,2.254104592277962,0.0003654895864465081,3.713230811921645e-05,3.473202968990452e-05
317,15,1.7669537010798804,0.00038315238996405274,3.8614354677873524e-05,3.6457424282287194e-05
318,11,2.0077082889659374,0.03443687477025093,0.007274375726337405,0.006438199291526688
319,11,1.701884886201621,0.0040477521279362536,0.0005623039287792139,0.00048526093951106795
320,5,1.7367742898031733,0.0005327992458046167,5.350413307700933e-05,4.346567565905308e-05
321,8,3.5310602990289954,0.02026933235820337,0.002497092420309324,0.002317102876014387
322,15,1.8086731851889757,0.013222126853409637,0.0021580263009963454,0.001885538931124621
323,8,2.2559537767124884,0.0024488825288078928,0.0003659405013819666,0.00030989301464681685
324,15,2.4613726829997002,0.00028977394304026557,2.9159624725034192e-05,3.587026770601136e-05
325,11,3.3970248465103023,0.011993265951053237,0.001968326114280026,0.0016825287250489304
326,5,3.694549217829723,0.008462517040694227,0.0012685173768017624,0.0016456615259487874
327,8,3.4935344158014603,0.023643285739973024,0.0031821637302794754,0.003440918838088715
329,11,2.7241899793419986,0.0017862529835876552,0.0002576557298821301,0.0002359484662682242
330,15,3.1671485587813746,0.0007330156770927468,0.00012421374172637937,0.00010642937871477461
