family,components,support_half_width,relative_amplitude,amplitude,tv,hellinger,hellinger_squared,chi_squared,sqrt_chi_squared,alpha,theorem_2_1_rhs_C0_1,corollary_2_4_rhs_C0_1,theorem_2_1_ratio,corollary_2_4_ratio,hellinger_over_tv,sqrt_chi_over_tv
2,8,2.5054451069340664,0.3,0.010229487439566799,0.0036953465235365548,0.0035225029049242673,1.24080267151999e-05,0.00010012491314404007,0.010006243708007519,1.2769255806814321,4.716051125725637,4.716051125725637,0.002121741991604873,0.0007469178791784781,0.9532266818520524,2.7077957761945557
2,8,2.5054451069340664,0.1,0.003409829146522266,0.001231782174512184,0.001177538733062542,1.3865974678625364e-06,1.1124990349337779e-05,0.003335414569335839,1.1566759451739306,2.8565599887021436,2.8565599887021436,0.0011676333010780774,0.0004122226516228521,0.9559634466450013,2.707795776194557
2,8,2.5054451069340664,0.03,0.0010229487439566798,0.00036953465235365555,0.00035361989722107576,1.2504703171064418e-07,1.001249131440402e-06,0.0010006243708007526,1.0642023111236811,1.6609802584297069,1.6609802584297069,0.0006024300202982209,0.00021289831436972558,0.9569329830606822,2.707795776194557
2,8,2.5054451069340664,0.01,0.0003409829146522266,0.00012317821745121845,0.00011790755952837559,1.3902192593937432e-08,1.1124990349337812e-07,0.00033354145693358436,1.001168063338432,1.010570238447459,1.010570238447459,0.00033005272097267057,0.00011667428452030924,0.9572111203433337,2.70779577619456
2,8,2.5054451069340664,0.003,0.00010229487439566799,3.6953465235366016e-05,3.537586959921675e-05,1.251452149900788e-09,1.0012491314404267e-08,0.0001000624370800765,0.947067046781601,0.582616659025577,0.582616659025577,0.0001717466116527295,6.071894624225591e-05,0.9573085872704723,2.707795776194557
2,8,2.5054451069340664,0.001,3.409829146522266e-05,1.2317821745122873e-05,1.1792299695651511e-05,1.3905833211206274e-10,1.112499034933878e-09,3.335414569335989e-05,0.90714256148579,0.35004151503937364,0.35004151503937364,9.528625680187712e-05,3.36882889286006e-05,0.9573364463015195,2.707795776194452
3,15,3.761227538207419,1.0,0.07008410495118902,0.014572060701989931,0.012673827438136581,0.00016062590193166365,0.0013108191358398337,0.0362052363041568,1.525783015597861,9.238245126625616,9.238245126625616,0.003919059930528301,0.001371886896745059,0.8697347408390819,2.4845652955050266
3,15,3.761227538207419,0.3,0.021025231485356708,0.004371618210596981,0.0038283458236646117,1.4656231745570274e-05,0.00011797372222558509,0.010861570891247042,1.2999122756313684,5.1003544545886665,5.1003544545886665,0.0021295717754430082,0.0007506038762110623,0.8757273941225118,2.4845652955050266
3,15,3.761227538207419,0.1,0.007008410495118903,0.0014572060701989935,0.0012787242178022653,1.6351356251940152e-06,1.3108191358398346e-05,0.0036205236304156815,1.1723354729562552,3.0819525987872436,3.0819525987872436,0.001174749939969994,0.0004149071657706373,0.8775177677016162,2.484565295505027
3,15,3.761227538207419,0.03,0.0021025231485356705,0.0004371618210596976,0.0003838949263380092,1.4737531446806552e-07,1.1797372222558506e-06,0.0010861570891247043,1.0753832608251053,1.7915929435813147,1.7915929435813147,0.0006062521584582291,0.0002142757525995946,0.8781529123641966,2.4845652955050292
3,15,3.761227538207419,0.01,0.0007008410495118903,0.00014572060701989925,0.00012799153883764674,1.6381834014028835e-08,1.3108191358398272e-07,0.0003620523630415671,1.0098286292247352,1.090705064967976,1.090705064967976,0.0003319434140999403,0.0001173475240452878,0.8783352022419761,2.4845652955050217
3,15,3.761227538207419,0.003,0.00021025231485356707,4.371618210596971e-05,3.840025458549585e-05,1.4745795522308949e-09,1.1797372222558743e-08,0.00010861570891247151,0.9538852036937688,0.6294614013139997,0.6294614013139997,0.00017255340627040256,6.100493931055244e-05,0.8783990901221007,2.484565295505057
3,15,3.761227538207419,0.001,7.008410495118903e-05,1.4572060701988451e-05,1.2800350975639285e-05,1.6384898509954957e-10,1.3108191358397234e-09,3.6205236304155276e-05,0.9127799629654226,0.37858388187836095,0.37858388187836095,9.563332734748603e-05,3.381113562502917e-05,0.8784173520422266,2.4845652955051745
4,3,1.6808921981145286,1.0,0.1,0.011326355047258367,0.009275841563983409,8.604123672012218e-05,0.0006943194986591087,0.02634994304849839,1.4668993255259868,8.101099876916814,8.101099876916814,0.0032526377218949775,0.0011450101473768877,0.8189608682829256,2.3264274286436573
4,3,1.6808921981145286,0.3,0.03,0.003397906514177509,0.0027910778890936194,7.790115782987293e-06,6.248875487931975e-05,0.007904982914549516,1.2659975917740078,4.536196041557769,4.536196041557769,0.0017426457856161957,0.0006152904026906074,0.8214110298350049,2.3264274286436573
4,3,1.6808921981145286,0.1,0.010000000000000002,0.0011326355047258372,0.0009311896520480947,8.671141680814516e-07,6.943194986591091e-06,0.0026349943048498397,1.1491550169251414,2.7504086826722967,2.7504086826722967,0.0009580373714824372,0.0003385641042782598,0.8221441480182947,2.326427428643657
4,3,1.6808921981145286,0.03,0.003,0.00033979065141775104,0.0002794452807708887,7.808966494512082e-08,6.248875487931982e-07,0.0007904982914549519,1.058792910647085,1.5993377074207564,1.5993377074207564,0.0004942660251097214,0.00017472562515989738,0.822404264522653,2.3264274286436577
4,3,1.6808921981145286,0.01,0.001,0.00011326355047258519,9.315688276679287e-05,8.67820480682599e-09,6.943194986591193e-08,0.0002634994304849859,0.9969583700740174,0.9727427498992826,0.9727427498992826,0.0002708829549356894,9.57672342214201e-05,0.8224789208717325,2.326427428643644
4,3,1.6808921981145286,0.003,0.00030000000000000003,3.397906514177634e-05,2.7947953899135227e-05,7.81088127148188e-10,6.248875487932262e-09,7.904982914549697e-05,0.9437402931617179,0.5605150330677512,0.5605150330677512,0.0001410307029819519,4.9861203090617324e-05,0.8225050860735417,2.3264274286436253
4,3,1.6808921981145286,0.001,0.0001,1.1326355047258297e-05,9.316069344584642e-06,8.67891480331097e-11,6.943194986591117e-10,2.6349943048498448e-05,0.9043846026049664,0.3365850841899581,0.3365850841899581,7.828612819226227e-05,2.7678200200122188e-05,0.8225125652263326,2.326427428643677
5,5,1.2019437924838743,1.0,0.1,0.006008233349699044,0.005052208851074942,2.5524814274879987e-05,0.00020547450199489016,0.014334381814186831,1.3479533248363573,5.927784941539732,5.927784941539732,0.002418168330253813,0.0008522928717725443,0.8408809307195118,2.385789795415461
5,5,1.2019437924838743,0.3,0.03,0.001802470004909712,0.0015189423103647284,2.307185742216139e-06,1.8492705179540092e-05,0.004300314544256047,1.1933839388729188,3.393681226634106,3.393681226634106,0.0012671533526798422,0.00044757954826276763,0.8427004644889023,2.385789795415461
