epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.02,3.5,0,200000,0.011668254261310919,0.0001361481575066004,0.011277585598581224
0.02,3.5,1,200000,0.017370078998034708,0.00030171964439796645,0.015104304053738598
0.02,3.5,2,200000,0.014265206866610744,0.0002034961269471983,0.013942323471441734
0.02,3.5,3,200000,0.01089968098528612,0.00011880304558100781,0.01029861393641619
0.02,4.0,0,200000,0.0161243711188121,0.0002599953439771818,0.013078962784482501
0.02,4.0,1,200000,0.024661224202943772,0.0006081759791878597,0.015975594564047794
0.02,4.0,2,200000,0.020878995580685945,0.0004359324564583032,0.015335938415208252
0.02,4.0,3,200000,0.01595716229029726,0.00025463102835888486,0.013338329291932705
0.04,-4.0,0,200000,0.05425569410787009,0.002943680343126769,0.0332394993368306
0.04,-4.0,1,200000,0.037052486469036,0.0013728867535380959,0.028561385141253236
0.04,-4.0,2,200000,0.04287883571002956,0.0018385945518477062,0.031272315397573046
0.04,-4.0,3,200000,0.056572565201601734,0.0032004551334894795,0.03447394524761932
0.04,-3.5,0,200000,0.04169341208216435,0.0017383406110531682,0.03133399438253262
0.04,-3.5,1,200000,0.02800711100424414,0.0007843982668040533,0.027972087865049775
0.04,-3.5,2,200000,0.03105794452222609,0.0009645959179456735,0.02915330424376861
0.04,-3.5,3,200000,0.04390255873796622,0.0019274346637405738,0.03244949945215678
0.04,-3.0,0,200000,0.030570218501382487,0.0009345382592222682,0.02755745364784131
0.04,-3.0,1,200000,0.01820965024518179,0.00033159136205184917,0.021559519166009913
0.04,-3.0,2,200000,0.024658774605132893,0.0006080551650267469,0.027584817467057345
0.04,-3.0,3,200000,0.035031273179443385,0.0012271901005727894,0.03223682333704364
0.04,-2.5,0,200000,0.024537765746585564,0.0006021019478343077,0.027864921484769475
0.04,-2.5,1,200000,0.013735872141730672,0.00018867418349397276,0.017274956227643343
0.04,-2.5,2,200000,0.02086363087771411,0.0004352910934015057,0.025459664135605086
0.04,-2.5,3,200000,0.02945265892144879,0.0008674591175431969,0.02959323192925839
0.04,-2.0,0,200000,0.02058703661339553,0.00042382607652128804,0.024753082919176914
0.04,-2.0,1,200000,0.011970697512146636,0.00014329759892731366,0.015321980848125579
0.04,-2.0,2,200000,0.019236574874595885,0.0003700458129059337,0.0241120354586492
0.04,-2.0,3,200000,0.02480168115098974,0.0006151233879153597,0.02757274433308538
0.04,-1.5,0,200000,0.01706306681514991,0.00029114824913827015,0.021808158324768585
0.04,-1.5,1,200000,0.011798115597214128,0.0001391955316452273,0.0153267328989679
0.04,-1.5,2,200000,0.01872615813946421,0.0003506689986642217,0.023486612056919872
0.04,-1.5,3,200000,0.02314619406811069,0.0005357462998386424,0.02604321292786481
0.04,-1.0,0,200000,0.015648861996039872,0.000244886881771101,0.019918728756641725
0.04,-1.0,1,200000,0.01257103730559604,0.00015803097893868733,0.016077399749537688
0.04,-1.0,2,200000,0.01578114087962208,0.00024904440746247915,0.019039512067191285
0.04,-1.0,3,200000,0.020666969990284525,0.0004271236485793211,0.02441331311170789
0.04,-0.5,0,200000,0.015794542914975104,0.0002494675858929903,0.019463103150519776
0.04,-0.5,1,200000,0.013547946423303878,0.00018354685228871235,0.01654275309990998
0.04,-0.5,2,200000,0.014072633101571388,0.00019803900241144274,0.017963242859512334
0.04,-0.5,3,200000,0.017884983083842742,0.00031987261990934105,0.02218295277824157
0.04,0.0,0,200000,0.015747865047582316,0.0002479952535568648,0.019693296742948244
0.04,0.0,1,200000,0.014992941222457557,0.0002247882865000671,0.018718513134417997
0.04,0.0,2,200000,0.013655693160301558,0.00018647795568830675,0.01742654525019484
0.04,0.0,3,200000,0.017075070291727747,0.0002915580254674435,0.020940741745007332
0.04,0.5,0,200000,0.014442456652422588,0.00020858455415710545,0.017719455062185786
0.04,0.5,1,200000,0.017605941183222954,0.00030996916494710605,0.02129614869571756
0.04,0.5,2,200000,0.012834444596002952,0.00016472296808786938,0.015892098893065417
0.04,0.5,3,200000,0.015995010325500207,0.00025584035531285825,0.019632061286933886
0.04,1.0,0,200000,0.012397391121555322,0.0001536953066208187,0.01560099767414308
0.04,1.0,1,200000,0.018775045470790643,0.00035250233243025626,0.022806730826314216
0.04,1.0,2,200000,0.014247075523609857,0.00020297916097544307,0.017739687952194657
0.04,1.0,3,200000,0.015038940199167544,0.00022616972231413753,0.018405918416405924
0.04,1.5,0,200000,0.013480746581873435,0.0001817305284046923,0.016728868652750726
0.04,1.5,1,200000,0.01963675117171928,0.00038560199658001844,0.02290121746912346
