truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.0,1600,38,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,39,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,39,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,39,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,39,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,39,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,0,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,0,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,1,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,1,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,2,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,1600,2,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,3,-6.0,mix_-0.5_+0.5_w0.75,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,3,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,3,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,3,-6.0,point_+0.0,0.0,0.0
